"sample_id","age","age_num","channel","x_pos","int_density"
"nSyb10_15to20 Mito F  251031-Airyscan Processing-14_nSyb_Middle_Left","Middle",2,"Green",1.82,52210000
"nSyb10_15to20 Mito F  251031-Airyscan Processing-14_nSyb_Middle_Left","Middle",2,"Red",2.18,92050000
"nSyb10_15to20 Mito F  251031-Airyscan Processing-14_nSyb_Middle_Right","Middle",2,"Green",1.82,32580000
"nSyb10_15to20 Mito F  251031-Airyscan Processing-14_nSyb_Middle_Right","Middle",2,"Red",2.18,56760000
"nSyb1_15to20 Mito F 251031 Processed_nSyb_Middle_Left","Middle",2,"Green",1.82,13750000
"nSyb1_15to20 Mito F 251031 Processed_nSyb_Middle_Left","Middle",2,"Red",2.18,13760000
"nSyb1_15to20 Mito F 251031 Processed_nSyb_Middle_Right","Middle",2,"Green",1.82,37340000
"nSyb1_15to20 Mito F 251031 Processed_nSyb_Middle_Right","Middle",2,"Red",2.18,81690000
"nSyb1_49to50d F 111125-Airyscan Processing-01_nSyb_Old_Left","Old",3,"Green",2.82,24160000
"nSyb1_49to50d F 111125-Airyscan Processing-01_nSyb_Old_Left","Old",3,"Red",3.18,4664000
"nSyb1_49to50d F 111125-Airyscan Processing-01_nSyb_Old_Right","Old",3,"Green",2.82,10530000
"nSyb1_49to50d F 111125-Airyscan Processing-01_nSyb_Old_Right","Old",3,"Red",3.18,1868000
"nSyb1_Experiment-1405-Split Scenes-08-Airyscan Processing-11_nSyb_Young_Left","Young",1,"Green",0.82,8507369.159
"nSyb1_Experiment-1405-Split Scenes-08-Airyscan Processing-11_nSyb_Young_Left","Young",1,"Red",1.18,3344241.274
"nSyb1_Experiment-1405-Split Scenes-08-Airyscan Processing-11_nSyb_Young_Right","Young",1,"Green",0.82,18550498.313
"nSyb1_Experiment-1405-Split Scenes-08-Airyscan Processing-11_nSyb_Young_Right","Young",1,"Red",1.18,12819512.703
"nSyb2_15to20 Mito F  251031-Airyscan Processing-02_nSyb_Middle_Left","Middle",2,"Green",1.82,24130000
"nSyb2_15to20 Mito F  251031-Airyscan Processing-02_nSyb_Middle_Left","Middle",2,"Red",2.18,41830000
"nSyb2_15to20 Mito F  251031-Airyscan Processing-02_nSyb_Middle_Right","Middle",2,"Green",1.82,13670000
"nSyb2_15to20 Mito F  251031-Airyscan Processing-02_nSyb_Middle_Right","Middle",2,"Red",2.18,24310000
"nSyb2_49to50d F 111125-Airyscan Processing-02_nSyb_Old_Left","Old",3,"Green",2.82,30860000
"nSyb2_49to50d F 111125-Airyscan Processing-02_nSyb_Old_Left","Old",3,"Red",3.18,9397000
"nSyb2_49to50d F 111125-Airyscan Processing-02_nSyb_Old_Right","Old",3,"Green",2.82,19070000
"nSyb2_49to50d F 111125-Airyscan Processing-02_nSyb_Old_Right","Old",3,"Red",3.18,5613000
"nSyb2_Experiment-1405-Split Scenes-07-Airyscan Processing-05_nSyb_Young_Left","Young",1,"Green",0.82,21591967.398
"nSyb2_Experiment-1405-Split Scenes-07-Airyscan Processing-05_nSyb_Young_Left","Young",1,"Red",1.18,15580247.77
"nSyb2_Experiment-1405-Split Scenes-07-Airyscan Processing-05_nSyb_Young_Right","Young",1,"Green",0.82,28798234.726
"nSyb2_Experiment-1405-Split Scenes-07-Airyscan Processing-05_nSyb_Young_Right","Young",1,"Red",1.18,23562758.631
