"sample_id","age","age_num","channel","x_pos","int_density"
"Repo1_15to20 Mito F 251031 3 channels-Airyscan Processing-13_Repo_Middle_Left","Middle",2,"Green",1.82,54160000
"Repo1_15to20 Mito F 251031 3 channels-Airyscan Processing-13_Repo_Middle_Left","Middle",2,"Red",2.18,10600000
"Repo1_15to20 Mito F 251031 3 channels-Airyscan Processing-13_Repo_Middle_Right","Middle",2,"Green",1.82,76210000
"Repo1_15to20 Mito F 251031 3 channels-Airyscan Processing-13_Repo_Middle_Right","Middle",2,"Red",2.18,17300000
"Repo1_49to50d F 111125-Airyscan Processing-11_Repo_Old_Left","Old",3,"Green",2.82,42380000
"Repo1_49to50d F 111125-Airyscan Processing-11_Repo_Old_Left","Old",3,"Red",3.18,7437000
"Repo1_49to50d F 111125-Airyscan Processing-11_Repo_Old_Right","Old",3,"Green",2.82,61760000
"Repo1_49to50d F 111125-Airyscan Processing-11_Repo_Old_Right","Old",3,"Red",3.18,9705000
"Repo2_15to20 Mito F  251106-Airyscan Processing-06_Repo_Middle_Left","Middle",2,"Green",1.82,41070000
"Repo2_15to20 Mito F  251106-Airyscan Processing-06_Repo_Middle_Left","Middle",2,"Red",2.18,7582000
"Repo2_15to20 Mito F  251106-Airyscan Processing-06_Repo_Middle_Right","Middle",2,"Green",1.82,49660000
"Repo2_15to20 Mito F  251106-Airyscan Processing-06_Repo_Middle_Right","Middle",2,"Red",2.18,13120000
"Repo2_49to50d F 111125-Airyscan Processing-12_Repo_Old_Left","Old",3,"Green",2.82,37990000
"Repo2_49to50d F 111125-Airyscan Processing-12_Repo_Old_Left","Old",3,"Red",3.18,4358000
"Repo2_49to50d F 111125-Airyscan Processing-12_Repo_Old_Right","Old",3,"Green",2.82,32960000
"Repo2_49to50d F 111125-Airyscan Processing-12_Repo_Old_Right","Old",3,"Red",3.18,3224000
"Repo3_15to20 Mito F  251106-Airyscan Processing-07_Repo_Middle_Left","Middle",2,"Green",1.82,53070000
"Repo3_15to20 Mito F  251106-Airyscan Processing-07_Repo_Middle_Left","Middle",2,"Red",2.18,5671000
"Repo3_15to20 Mito F  251106-Airyscan Processing-07_Repo_Middle_Right","Middle",2,"Green",1.82,37720000
"Repo3_15to20 Mito F  251106-Airyscan Processing-07_Repo_Middle_Right","Middle",2,"Red",2.18,3946000
"Repo3_49to50d F 111125-Airyscan Processing-13_Repo_Old_Left","Old",3,"Green",2.82,63420000
"Repo3_49to50d F 111125-Airyscan Processing-13_Repo_Old_Left","Old",3,"Red",3.18,9650000
"Repo3_49to50d F 111125-Airyscan Processing-13_Repo_Old_Right","Old",3,"Green",2.82,27940000
"Repo3_49to50d F 111125-Airyscan Processing-13_Repo_Old_Right","Old",3,"Red",3.18,5623000
"Repo4_15to20 Mito F  251106-Airyscan Processing-08_Repo_Middle_Left","Middle",2,"Green",1.82,2.8e+07
